model,split,precision,recall,f1,pr_auc,roc_auc,false_positive_rate,threshold,precision_at_100,recall_at_100,precision_at_500,recall_at_500,precision_at_1000,recall_at_1000
Logistic Regression,validation,0.00042967647819830917,1.0,0.0008589838712319982,0.0013780119228619836,0.771049962328157,0.9579894165645576,0.5,0.0,0.0,0.002,0.0027247956403269754,0.001,0.0027247956403269754
Logistic Regression,test,0.0011357613386840312,0.9966777408637874,0.0022689371164078187,0.0049447581616774315,0.8270440600956251,0.9336957137194949,0.5,0.0,0.0,0.006,0.009966777408637873,0.004,0.013289036544850499
